,region,name
1488,Minnesota,The College of Saint Scholastica
1489,Ohio,The College of Wooster
1490,Washington,The Evergreen State College
1491,New York,The Juilliard School
1492,New York,The King's College
1493,Texas,The King's University
1494,California,The Master's University and Seminary
1495,Massachusetts,The New England Conservatory of Music
1496,New York,The New School
1497,Ohio,The North Coast College
1498,Pennsylvania,The Pennsylvania State University
1499,Kentucky,The Southern Baptist Theological Seminary
1500,Alabama,The University of Alabama
1501,Ohio,The University of Findlay
1502,Montana,The University of Montana
1503,Montana,The University of Montana-Western
1504,Florida,The University of Tampa
1505,Tennessee,The University of Tennessee Health Science Center
1506,Tennessee,The University of Tennessee Southern
1507,Tennessee,The University of Tennessee-Chattanooga
1508,Tennessee,The University of Tennessee-Knoxville
1509,Tennessee,The University of Tennessee-Martin
1510,Texas,The University of Texas at Arlington
1511,Texas,The University of Texas at Austin
1512,Texas,The University of Texas at Dallas
1513,Texas,The University of Texas at El Paso
1514,Texas,The University of Texas at San Antonio
1515,Texas,The University of Texas at Tyler
1516,Texas,The University of Texas Health Science Center at Houston
1517,Texas,The University of Texas Health Science Center at San Antonio
1518,Texas,The University of Texas MD Anderson Cancer Center
1519,Texas,The University of Texas Medical Branch at Galveston
1520,Texas,The University of Texas Permian Basin
1521,Texas,The University of Texas Rio Grande Valley
1522,Pennsylvania,The University of the Arts
1523,Tennessee,The University of the South
1524,Florida,The University of West Florida
1525,Pennsylvania,Thiel College
1526,California,Thomas Aquinas College
1527,Maine,Thomas College
1528,New Jersey,Thomas Edison State University
1529,Pennsylvania,Thomas Jefferson University
1530,New Hampshire,Thomas More College of Liberal Arts
1531,Kentucky,Thomas More University
1532,Georgia,Thomas University
1533,Ohio,Tiffin University
1534,Georgia,Toccoa Falls College
1535,New York,Torah Temimah Talmudical Seminary
1536,Mississippi,Tougaloo College
1537,New York,Touro College
1538,Nevada,Touro University Nevada
1539,California,Touro University Worldwide
1540,Maryland,Towson University
1541,Kentucky,Transylvania University
1542,Tennessee,Trevecca Nazarene University
1543,Ohio,Tri-State Bible College
1544,Indiana,Trine University
1545,Indiana,Trine University-Regional/Non-Traditional Campuses
1546,Florida,Trinity Baptist College
1547,North Dakota,Trinity Bible College and Graduate School
1548,Illinois,Trinity Christian College
1549,Connecticut,Trinity College
1550,Florida,Trinity College of Florida
1551,Illinois,Trinity College of Nursing & Health Sciences
1552,Florida,Trinity International University-Florida
1553,Illinois,Trinity International University-Illinois
1554,Texas,Trinity University
1555,District of Columbia,Trinity Washington University
1556,Alabama,Troy University
1557,Georgia,Truett McConnell University
1558,Missouri,Truman State University
1559,Massachusetts,Tufts University
1560,Louisiana,Tulane University of Louisiana
1561,Tennessee,Tusculum University
1562,Alabama,Tuskegee University
1563,Indiana,Union Bible College
1564,Kentucky,Union College
1565,New York,Union College
1566,Nebraska,Union College
1567,Ohio,Union Institute & University
1568,Tennessee,Union University
1569,Florida,United International College
1570,Colorado,United States Air Force Academy
1571,Connecticut,United States Coast Guard Academy
1572,New York,United States Merchant Marine Academy
1573,New York,United States Military Academy
1574,Maryland,United States Naval Academy
1575,Alabama,United States Sports Academy
1576,California,United States University
1577,New York,United Talmudical Seminary
1578,Maine,Unity College
1579,New York,University at Buffalo
1580,Arizona,University of Advancing Technology
1581,Ohio,University of Akron Main Campus
1582,Alabama,University of Alabama at Birmingham
1583,Alabama,University of Alabama in Huntsville
1584,Alaska,University of Alaska Anchorage
1585,Alaska,University of Alaska Fairbanks
1586,Alaska,University of Alaska Southeast
1587,Arizona,University of Arizona
1588,Arkansas,University of Arkansas
1589,Arkansas,University of Arkansas at Little Rock
1590,Arkansas,University of Arkansas at Pine Bluff
1591,Arkansas,University of Arkansas for Medical Sciences
1592,Arkansas,University of Arkansas-Fort Smith
1593,Maryland,University of Baltimore
1594,Connecticut,University of Bridgeport
1595,California,University of California-Berkeley
1596,California,University of California-Davis
1597,California,University of California-Irvine
1598,California,University of California-Los Angeles
1599,California,University of California-Merced
1600,California,University of California-Riverside
1601,California,University of California-San Diego
1602,California,University of California-Santa Barbara
1603,California,University of California-Santa Cruz
1604,Arkansas,University of Central Arkansas
1605,Florida,University of Central Florida
1606,Missouri,University of Central Missouri
1607,Oklahoma,University of Central Oklahoma
1608,West Virginia,University of Charleston
1609,Illinois,University of Chicago
1610,Ohio,University of Cincinnati-Main Campus
1611,Colorado,University of Colorado Boulder
1612,Colorado,University of Colorado Colorado Springs
1613,Colorado,University of Colorado Denver/Anschutz Medical Campus
1614,Connecticut,University of Connecticut
1615,Connecticut,University of Connecticut-Avery Point
1616,Connecticut,University of Connecticut-Hartford Campus
1617,Connecticut,University of Connecticut-Stamford
1618,Connecticut,University of Connecticut-Waterbury Campus
1619,Texas,University of Dallas
1620,Ohio,University of Dayton
1621,Delaware,University of Delaware
1622,Colorado,University of Denver
1623,Michigan,University of Detroit Mercy
1624,Iowa,University of Dubuque
1625,Indiana,University of Evansville
1626,Florida,University of Florida
1627,Florida,University of Florida-Online
1628,Florida,University of Fort Lauderdale
1629,Georgia,University of Georgia
1630,Connecticut,University of Hartford
1631,Hawaii,University of Hawaii at Hilo
1632,Hawaii,University of Hawaii at Manoa
1633,Hawaii,University of Hawaii-West Oahu
1634,Missouri,University of Health Sciences and Pharmacy in St. Louis
1635,Louisiana,University of Holy Cross
1636,Texas,University of Houston
1637,Texas,University of Houston-Clear Lake
1638,Texas,University of Houston-Downtown
1639,Texas,University of Houston-Victoria
1640,Idaho,University of Idaho
1641,Illinois,University of Illinois Chicago
1642,Illinois,University of Illinois Springfield
1643,Illinois,University of Illinois Urbana-Champaign
1644,Indiana,University of Indianapolis
1645,Iowa,University of Iowa
1646,North Dakota,University of Jamestown
1647,Kansas,University of Kansas
1648,Kentucky,University of Kentucky
1649,California,University of La Verne
1650,Louisiana,University of Louisiana at Lafayette
1651,Louisiana,University of Louisiana at Monroe
1652,Kentucky,University of Louisville
1653,Virginia,University of Lynchburg
1654,Maine,University of Maine
1655,Maine,University of Maine at Augusta
1656,Maine,University of Maine at Farmington
1657,Maine,University of Maine at Fort Kent
1658,Maine,University of Maine at Presque Isle
1659,Virginia,University of Management and Technology
1660,North Dakota,University of Mary
1661,Texas,University of Mary Hardin-Baylor
1662,Virginia,University of Mary Washington
1663,Maryland,University of Maryland Eastern Shore
1664,Maryland,University of Maryland Global Campus
1665,Maryland,University of Maryland Baltimore
1666,Maryland,University of Maryland-Baltimore County
1667,Maryland,University of Maryland-College Park
1668,California,University of Massachusetts Global
1669,Massachusetts,University of Massachusetts-Amherst
1670,Massachusetts,University of Massachusetts-Boston
1671,Massachusetts,University of Massachusetts-Dartmouth
1672,Massachusetts,University of Massachusetts-Lowell
1673,Tennessee,University of Memphis
1674,Florida,University of Miami
1675,Michigan,University of Michigan-Ann Arbor
1676,Michigan,University of Michigan-Dearborn
1677,Michigan,University of Michigan-Flint
1678,Minnesota,University of Minnesota-Crookston
1679,Minnesota,University of Minnesota-Duluth
1680,Minnesota,University of Minnesota-Morris
1681,Minnesota,University of Minnesota-Rochester
1682,Minnesota,University of Minnesota-Twin Cities
1683,Mississippi,University of Mississippi
1684,Missouri,University of Missouri-Columbia
1685,Missouri,University of Missouri-Kansas City
1686,Missouri,University of Missouri-St Louis
1687,Alabama,University of Mobile
1688,Alabama,University of Montevallo
1689,North Carolina,University of Mount Olive
1690,Ohio,University of Mount Union
1691,Nebraska,University of Nebraska at Kearney
1692,Nebraska,University of Nebraska at Omaha
1693,Nebraska,University of Nebraska Medical Center
1694,Nebraska,University of Nebraska-Lincoln
1695,Nevada,University of Nevada-Las Vegas
1696,Nevada,University of Nevada-Reno
1697,Maine,University of New England
1698,New Hampshire,University of New Hampshire at Manchester
1699,New Hampshire,University of New Hampshire-Main Campus
1700,Connecticut,University of New Haven
1701,New Mexico,University of New Mexico-Main Campus
1702,Louisiana,University of New Orleans
1703,Alabama,University of North Alabama
1704,North Carolina,University of North Carolina at Asheville
1705,North Carolina,University of North Carolina at Chapel Hill
1706,North Carolina,University of North Carolina at Charlotte
1707,North Carolina,University of North Carolina at Greensboro
1708,North Carolina,University of North Carolina at Pembroke
1709,North Carolina,University of North Carolina School of the Arts
1710,North Carolina,University of North Carolina Wilmington
1711,North Dakota,University of North Dakota
1712,Florida,University of North Florida
1713,Georgia,University of North Georgia
1714,Texas,University of North Texas
1715,Texas,University of North Texas at Dallas
1716,Colorado,University of Northern Colorado
1717,Iowa,University of Northern Iowa
1718,Minnesota,University of Northwestern-St Paul
1719,Indiana,University of Notre Dame
1720,Oklahoma,University of Oklahoma-Health Sciences Center
1721,Oklahoma,University of Oklahoma-Norman Campus
1722,Oregon,University of Oregon
1723,Pennsylvania,University of Pennsylvania
1724,Arizona,University of Phoenix-Arizona
1725,California,University of Phoenix-California
1726,Hawaii,University of Phoenix-Hawaii
1727,Nevada,University of Phoenix-Nevada
1728,Texas,University of Phoenix-Texas
1729,Kentucky,University of Pikeville
1730,Pennsylvania,University of Pittsburgh-Bradford
1731,Pennsylvania,University of Pittsburgh-Greensburg
1732,Pennsylvania,University of Pittsburgh-Johnstown
1733,Pennsylvania,University of Pittsburgh-Pittsburgh Campus
1734,Oregon,University of Portland
1735,Montana,University of Providence
1736,Washington,University of Puget Sound
1737,California,University of Redlands
